Instance,NU,NC,Fed,Adult,↓V,Users,BI,BB,UT,Version
[Blåhaj Lemmy](https://lemmy.blahaj.zone),Yes,Yes,No,Yes,No,929,145,0,98%,0.18.1-rc.4-48-gf5378d0b4-kt.1
[VLemmy](https://vlemmy.net),Yes,Yes,No,Yes,Yes,909,1,0,100%,0.18.1
[Lemmygrad](https://lemmygrad.ml),Yes,Yes,No,Yes,Yes,758,42,0,99%,0.18.1
[Reddthat](https://reddthat.com),Yes,Yes,No,Yes,No,519,3,0,97%,0.18.0
[Mander](https://mander.xyz),Yes,Yes,No,Yes,Yes,213,0,0,82%,0.18.1-rc.10
[Exploding Heads](https://exploding-heads.com),Yes,Yes,No,Yes,No,157,3,0,99%,0.18.0
[szmer](https://szmer.info),Yes,Yes,No,Yes,Yes,122,3,0,99%,0.18.1
[waveform.social](https://waveform.social),Yes,Yes,No,Yes,Yes,117,0,0,98%,0.18.0
[iusearchlinux.fyi](https://iusearchlinux.fyi),Yes,Yes,No,Yes,Yes,96,0,0,99%,0.18.1
[monero.town](https://monero.town),Yes,Yes,No,Yes,Yes,83,0,0,99%,0.18.1
[lemmy.studio](https://lemmy.studio),Yes,Yes,No,Yes,Yes,46,2,0,99%,0.18.0
[toast.ooo](https://toast.ooo),Yes,Yes,No,Yes,Yes,34,0,0,98%,0.18.1
[New Site](https://baraza.africa),Yes,Yes,No,Yes,Yes,4,0,0,98%,0.18.1-rc.9
[Lemmy  PussTheCat](https://lemmy.pussthecat.org),Yes,Yes,No,Yes,Yes,2,0,0,99%,0.18.0
